X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,Source,GlobalID,IsCpxChild,CpxName,CpxID
-112.4834,34.5124700000001,237004,,DEFAULT,,,,1,1,AZPDC,,,,,,,,,Undetermined,,,,,2022/01/02 15:20:15+00,,,,,,,,,SWCC,,,,,,West Zone Piles,,RX,FI,34.49523,-112.4548,,,{CFAF23AD-8D37-462B-AD27-62F7C044F129},,0,0,0,0,0,,000001,,,,Yavapai,AZPDC,04025,FS,AZPNF,,USFS,Federal,,,,,,,SW02,FS,AZPNF,US-AZ,,,,,,2022-AZPNF-000001,No Decision,wildcad,wildcad,0,,,2022/01/02 17:09:28+00,2022/01/04 16:56:28+00,IRWIN,{8F3A4DE7-C4FA-4204-8C2C-30944824A03C},0,,
-116.408224,33.7468710000001,237011,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 19:38:26+00,,,,,,,,,OSCC,,,,,,SUNRISE,,WF,FI,33.746871,-116.408224,,,{A68079A9-681D-421B-A246-7BACE4C242C9},,0,0,0,0,0,,000843,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CDF,CARRU,US-CA,,,,,,2022-CARRU-000843,No Decision,cfcad,cfcad,0,,,2022/01/02 19:56:59+00,2022/01/02 21:30:03+00,IRWIN,{6937D970-2536-4FE7-84A1-8BFC54DEA4F9},,,
-117.333994,33.702752,237014,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 19:56:18+00,,,,,,,,,OSCC,,,,,,ROSTRATA AV  LELS,,WF,FI,33.702752,-117.333994,,,{85C9C1BD-DE34-4055-B983-8E56A8A9A1AA},,0,0,0,0,0,,000853,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000853,No Decision,cfcad,cfcad,0,,,2022/01/02 20:18:28+00,2022/01/02 20:18:28+00,IRWIN,{3216CD99-09F4-4002-BFD1-4612BF82389C},,,
-116.178761,33.6773820000001,237015,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 20:34:53+00,,,,,,,,,OSCC,,,,,,6TH ST  COAC,,WF,FI,33.677382,-116.178761,,,{EA0F4D91-1310-41DD-90F7-0E104AE0E0D9},,0,0,0,0,0,,000876,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CDF,CARRU,US-CA,,,,,,2022-CARRU-000876,No Decision,cfcad,cfcad,0,,,2022/01/02 20:49:42+00,2022/01/02 20:49:42+00,IRWIN,{4223D836-AE24-442A-9E95-7DE3F782DAAD},,,
-81.89178,29.2181,237017,,FIREREPORTING,,2022/01/03 17:48:59+00,2022/01/11 17:29:59+00,0.3,1,FLFIC,,,,,,,,,Human,Other Human Cause,"Other, Unknown",PET2,,2022/01/02 19:36:00+00,,2022/01/11 17:29:59+00,,,,,P8,0805,SACC,,,,,,Scrambletown,,WF,FI,29.22137,-81.96484,0.24,2022/01/02 19:44:59+00,{13E538B4-AF39-4061-96FA-3F045D5857DB},1,0,0,0,0,0,,000002,,,,Marion,FLFIC,12083,FS,FLFNF,,USFS,Federal,,,,,,,SA48,FS,FLFNF,US-FL,Timber,TU3,,,,2022-FLFNF-000002,No Decision,wildcad,wildcad,0,,,2022/01/02 21:39:55+00,2022/02/09 20:00:48+00,IRWIN,{0E731A26-97B4-47C1-BE44-9F29C650832F},0,,
-117.4818124,34.3255651200001,237019,EK13,FIREREPORTING,,2022/01/02 21:56:00+00,2022/01/02 21:56:00+00,0.1,1,CASBCC,,,,,,,,,Human,Other Human Cause,,,,2022/01/02 20:53:09+00,,2022/01/05 22:38:00+00,,,,,P5,0512,OSCC,,,,,,OAK,,WF,FI,34.33985,-117.4658,,2022/01/02 21:52:00+00,{69BAE663-CCCC-4B88-9902-9A41AF30E8E6},,0,0,0,0,0,,000336,,,,San Bernardino,CASBCC,06071,FS,CABDF,,USFS,Federal,,,,,,,SC09,FS,CABDF,US-CA,Grass-Shrub,GS1,,,,2022-CABDF-000336,No Decision,wildcad,INFORM_Inspector,0,,,2022/01/02 21:52:37+00,2022/02/14 21:41:25+00,IRWIN,{3A84B15C-8224-439A-A489-DA90336077E1},0,,
-117.55267,33.81161,237020,,CERTIFIED,,,2022/01/02 02:00:00+00,0.1,1,CAMVIC,,,,2022/01/11 16:13:45+00,,,,,Human,Camping,Campfire,,,2022/01/02 01:30:00+00,,2022/01/02 20:00:00+00,,,,,,,OSCC,,,,,,Joseph,,WF,FI,33.80508,-117.551,,2022/01/02 02:00:00+00,{2B12F1A8-96B7-4637-95A4-35CA271255E3},0,0,0,0,0,0,,000017,,,,Riverside,CARRCC,06065,CDF,,,Private,Private,,,,,,,SC08,FS,CACNF,US-CA,Brush,SH5,,,,2022-CACNF-000017,No Decision,wildcad,INFORM_Inspector,0,,,2022/01/02 22:32:42+00,2022/01/11 16:13:46+00,IRWIN,{3C2E704E-F8ED-4B6A-A44A-72D35BCFFB87},0,,
-117.155911,33.5271530000001,237021,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 22:22:29+00,,,,,,,,,OSCC,,,,,,WINCHESTER RD  TEM,,WF,FI,33.527153,-117.155911,,,{72BFFEBB-4CF7-47FC-8A78-64BD24D0B179},,0,0,0,0,0,,000933,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000933,No Decision,cfcad,cfcad,0,,,2022/01/02 22:36:02+00,2022/01/02 22:36:02+00,IRWIN,{A73967ED-EB00-4F14-8953-BD5C9474D354},,,
-117.275654,33.837322,237023,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 23:07:09+00,,,,,,,,,OSCC,,,,,,CAJALCO RD / TYLER RD,,WF,FI,33.837322,-117.275654,,,{F5C0FAE3-658A-4BFC-B35E-772CF896ED1E},,0,0,0,0,0,,000951,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000951,No Decision,cfcad,cfcad,0,,,2022/01/02 23:09:30+00,2022/01/02 23:09:30+00,IRWIN,{56AD508E-B19F-44D5-A116-36A188C38088},,,
-117.223603,33.77007,237024,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/02 21:31:15+00,,,,,,,,,OSCC,,,,,,RED SPRUCE PL  PERR,,WF,FI,33.77007,-117.223603,,,{6D0361E7-D654-45CE-BFD1-8D274114E893},,0,0,0,0,0,,000908,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-000908,No Decision,cfcad,cfcad,0,,,2022/01/02 23:19:09+00,2022/01/02 23:19:09+00,IRWIN,{DF7B92D8-E42C-4C18-B4E2-0B72C8C78814},,,
-116.613368,33.916387,237025,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/03 00:05:59+00,,,,,,,,,OSCC,,,,,,I 10  W/ HY 62 TO I 10 W,,WF,FI,33.916387,-116.613368,,,{D96A9294-8E7B-4D50-927C-BD3BFC02DA09},,0,0,0,0,0,,000973,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CDF,CARRU,US-CA,,,,,,2022-CARRU-000973,No Decision,cfcad,cfcad,0,,,2022/01/03 00:18:43+00,2022/01/03 00:18:43+00,IRWIN,{0C06F58C-AFB3-4175-975C-AEE96259519B},,,
-115.8471,35.18521,237026,,CERTIFIED,,2022/01/02 23:26:00+00,2022/01/02 23:26:00+00,0.1,1,CASBCC,,,,2022/01/19 00:23:35+00,,,,,Human,Equipment,Motor Vehicle,PET3,,2022/01/02 21:43:00+00,,2022/01/02 23:29:59+00,,,,,,,OSCC,,,,,,INDIAN SPRINGS ,,WF,FI,35.18325,-115.8574,,2022/01/02 21:46:00+00,{83004F6A-BE50-4D6A-A536-9FB3509BB454},0,0,0,0,0,1,,000343,,,,San Bernardino,CASBCC,06071,NPS,CAMNP,,NPS,Federal,,,,,,,SC14,NPS,CAMNP,US-CA,Grass-Shrub,GS1,,,,2022-CAMNP-000343,No Decision,wildcad,INFORM_Inspector,0,,,2022/01/03 00:21:32+00,2022/01/19 00:23:43+00,IRWIN,{5B06C6E8-41A5-4D88-B19B-035E844DAF80},0,,
-117.420768,34.009081,237029,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/03 01:36:55+00,,,,,,,,,OSCC,,,,,,PATRICIA DR  JRPV,,WF,FI,34.009081,-117.420768,,,{4DE4A707-2306-495A-A1B2-0F9CD524CC45},,0,0,0,0,0,,001026,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CDF,CARRU,US-CA,,,,,,2022-CARRU-001026,No Decision,cfcad,cfcad,0,,,2022/01/03 01:58:47+00,2022/01/03 01:58:47+00,IRWIN,{A11A63B8-2D2B-48AC-9E61-274A478B9E7D},,,
-116.17103,33.7164930000001,237030,,DEFAULT,,,,,0.1,CARRCC,,,,,,,,,Undetermined,,,,,2022/01/03 01:40:50+00,,,,,,,,,OSCC,,,,,,DILLON RD / VISTA DEL NORTE,,WF,FI,33.716493,-116.17103,,,{E1ACBEDC-6168-4431-8641-32FD9F58E4CB},,0,0,0,0,0,,001030,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CDF,CARRU,US-CA,,,,,,2022-CARRU-001030,No Decision,cfcad,cfcad,0,,,2022/01/03 01:59:49+00,2022/01/03 01:59:49+00,IRWIN,{C3EC9770-CAEC-4BBB-A8A8-7AD07B389377},,,
